"id_data","data"
"1","06/07/2016"
"2","14/12/2016"
"3","23/08/2019"
"4","03/07/2019"
"5","01/09/2014"
"6","20/10/2020"
"7","16/06/2016"
"8","24/01/2020"
"9","23/06/2016"
"10","01/07/2016"
"11","01/08/2019"
"12","01/09/2016"
"13","06/01/2017"
"14","21/05/2020"
"15","26/10/2020"
"16","17/08/2020"
"17","28/01/2019"
"18","04/09/2014"
"19","03/02/2020"
"20","02/01/2017"
"21","03/12/1994"
"22","27/01/2020"
"23","27/04/2020"
"24","19/07/2017"
"25","13/08/2008"
"26","18/05/2017"
"27","01/10/2020"
"28","22/07/2020"
"29","23/01/2019"
"30","03/06/2016"
"31","06/06/2016"
"32","16/04/2019"
"33","05/10/2020"
"34","29/06/2016"
"35","23/06/2020"
"36","19/06/2006"
"37","14/08/2020"
"38","09/09/1994"
"39","29/03/2017"
"40","24/07/2020"
"41","03/05/2002"
"42","20/02/2018"
"43","10/03/2020"
"44","27/08/2009"
"45","11/06/1999"
"46","03/10/2016"
"47","23/03/2020"
"48","12/03/2020"
"49","08/07/2016"
"50","23/12/2016"
"51","10/04/2017"
"52","03/08/2020"
"53","24/06/2016"
"54","25/05/2018"
"55","28/10/2019"
"56","03/12/1996"
"57","22/06/2016"
"58","27/06/2016"
"59","03/09/2018"
"60","04/11/1997"
"61","10/12/2019"
"62","27/07/2020"
"63","07/07/2016"
"64","26/03/2019"
"65","09/07/2019"
"66","16/01/2017"
"67","15/07/2020"
"68","12/12/2016"
"69","12/02/2020"
"70","04/12/2000"
"71","20/04/2020"
"72","13/06/2016"
"73","21/05/1987"
"74","02/03/2020"
"75","23/10/2019"
"76","12/07/2016"
"77","25/10/2019"
"78","09/03/2020"
"79","14/08/2018"
"80","17/06/2009"
"81","08/07/2019"
"82","19/02/2019"
"83","21/02/2017"
"84","02/08/2016"
"85","02/07/2020"
"86","17/02/2020"
"87","09/10/2020"
"88","11/07/2016"
"89","31/03/2014"
"90","06/01/2020"
"91","01/07/2018"
"92","18/07/2016"
"93","12/04/2013"
"94","14/06/2016"
"95","25/03/2013"
"96","08/03/2019"
"97","26/05/2020"
"98","06/08/2019"
"99","05/02/2020"
"100","09/07/2020"
"101","08/10/2020"
"102","08/10/2019"
"103","03/06/2019"
"104","01/08/2018"
"105","16/04/1997"
"106","21/11/2004"
"107","02/05/2013"
"108","27/08/2020"
"109","27/06/2017"
"110","19/01/2017"
"111","01/09/1997"
"112","20/05/2019"
"113","01/06/2020"
"114","20/12/2016"
"115","20/10/2003"
"116","09/09/2019"
"117","02/10/2006"
"118","13/12/2013"
"119","19/10/2020"
"120","02/09/2018"
